imo,name,dwt
9374416,CHEM NICHOLAS,38396
9374387,AMKE,6424
9374349,HTK DISCOVERY,37322
9372585,VERA A,12513
9372494,MSC SORAYA,73262
9372482,MSC ORIANE,72900
9370836,NEW AMORGOS,107510
9370525,SABAHAT SONAY,14889
9370422,ASSAY,33248
9370393,WHITE IVY,16383
9370381,AEGEAN SPIRE,33401
9370331,BLISS,35278
9370317,AGIA ELENI,29664
9370185,BLUE BOSPORUS,78819
9370147,CONCEPTION LIGHT,32256
9370135,SUN AQUAMARINE,32221
9370111,IMPALA,13425
9370109,SAGITTA,13464
9370094,LIBERTA,13446
9370082,FULMAR S,13450
9369904,MERIDIAN SPIRIT,81929
9369758,MSC FIAMMETTA,73355
9369461,SUMMIT RIVER,52991
9369291,ATALAYA TMA,7218
9369095,BBC CHALLENGER,11121
9369083,UNISTORM,11149
9370719,JIPRO ISIS,37946
9370848,ANAFI WARRIOR,107593
9372470,MSC KRYSTAL,72900
9370850,SYROS WARRIOR,107687
9372468,SPARTA,10315
9372420,CLIPPER ORION,43475
9372274,THETIS D,17882
9372200,HEINRICH EHLER,17819
9371878,ASTRAL,11317
9371804,MONA SWAN,11348
9371787,SELANDIA SWAN,17998
9371672,GASCHEM ARCTIC,9133
9371660,GASCHEM ATLANTIC,9127
9371610,STEN ARNOLD,16578
9371581,JUMBO JUBILEE,13017
9371426,VIVIENNE SHERI D,12640
9371414,PERSEUS,12558
9371402,CONTSHIP IVY,12612
9371359,OCEAN BREEZE,19124
9371086,POSIDANA,54706
9371074,PLATE QUEEN,55649
9371062,SAGA NAVIGATOR,46573
9370977,GLORIOUS SEA,24781
9384942,ZENITH LEADER,22602
9385001,HYUNDAI TACOMA,72982
9363780,TWINKLE STAR,45750
9397511,LYSIAS,49999
9398230,WAN HAI 722,90443
9398228,MSC NOA,85713
9397987,AQUAMARINE ACE,18772
9397808,NINGBO DAWN,111402
9397793,SHANGHAI DAWN,111410
9397781,GALISSAS,50057
9397559,SCF ANGARA,50956
9397547,SCF ANADYR,50973
9397535,SCF IRTYSH,49999
9397468,ATLANTICA BRAVE,51246
9399260,NCC NOOR,45565
9397456,ALTHINI II,51246
9397420,AYSE NAZ BAYRAKTAR,21417
9397353,ONAIZA,121939
9397341,AL SADD,121913
9397327,AL KHARAITIYAT,107153
9397315,AL MAFYAR,130441
9397286,AL GHASHAMIYA,108988
9397236,AGIA TRIADA,31887
9397200,SUPRA,16648
9398254,WAN HAI 723,90443
9398321,TORINO,22160
9398400,ZIM NINGBO,108427
9398412,ZIM SAN DIEGO,108464
9399193,CMA CGM LIBRA,131292
9399129,ONEGO DEUSTO,9832
9399105,0540 STAR SKY,81466
9399052,MSC EMANUELA,162867
9399040,MSC IRENE,162867
9399038,MSC BETTINA,162867
9399026,MSC KALINA,162867
9398917,COSTA DELIZIOSA,7500
9398905,COSTA LUMINOSA,7600
9398890,CIUDAD DE MAHON,3400
9398888,AIDABLU,7889
9398773,ELBWINTER,13172
9398747,PREMIERSHIP,170024
9398723,EAGLE HANOVER,114014
9398709,COLOSSUS,170958
9398527,SUPER FAST BALEARES,10140
9398462,TIANJIN,116440
9398450,ZIM ROTTERDAM,116499
9398448,ZIM ANTWERP,116294
9397171,ESL AFRICA,17356
9396854,MARLIN,3794
9396799,SUNNY BAY,50661
9396024,TEAM OSPREY,25432
9396000,TEAM HAWK,25385
9395989,ARSLAND,16791
9395745,WISBY BARBADOS,9595
9395733,PELICAN FISHER,9596
9395628,VICTORY LEADER,13363
9395616,CONTSHIP TOP,13750
9395599,CONTSHIP VOW,13750
9395575,CT ROTTERDAM,11157
9395379,KORO SEA,105905
9395367,BESIKTAS ICELAND,7700
9395355,JUTLANDIA SEA,11663
9395343,FIONIA SEAWAYS,11623
9395331,COROSSOL,106898
9395329,BOTAFOGO,106898
9395161,ONE HONG KONG,98849
9395159,ONE HAMBURG,103811
9395147,ONE HAMMERSMITH,98849
9395109,AS FABIANA,18278
9394959,SEAWAYS YOSEMITE,112905
9396012,TEAM FALCON,25418
9396139,STAR KILIMANJARO,49862
9396775,SUNNY ISLES,50698
9396206,YASA UNSAL SUNAR,55526
9396763,PYXIS MALOU,50667
9396751,ELANDRA CORALLO,50607
9396749,ELANDRA BLU,50696
9396696,CMA CGM GALICIA,13100
9396672,PIKE,73723
9396660,CLIO,112705
9396634,SATURN,17350
9396622,ATLANTIC SILVER,17215
9396610,ATLANTIC WEST,17350
9396567,SMARTA,15968
9396555,HATICE C,15800
9396543,ANNETTA,12000
9396529,HIZIR,7690
9396385,LEON ZEUS,40416
9396373,NORIENT SOLAR,40429
9396359,EVIE PG,9990
9396335,HISTRIA TIGER,40416
9396323,HISTRIA GIADA,40448
9396218,YASA ILHAN,55518
9399222,CMA CGM TITAN,131236
9399272,NCC HUDA,45459
9394935,EVERGLADES,112969
9402093,SEDNA DESGAGNES,12612
9402471,FULMAR,115605
9402328,KARA SEA,115191
9402287,MOUNT TROODOS,181383
9402249,CHINA DAWN,114824
9402237,HONG KONG DAWN,114824
9402225,RAYSUT,99995
9402213,VELOS EMERALD,115042
9402122,SUNSET,37334
9402110,STRAITS BREEZE,31612
9402081,ZELADA DESGAGNES,12692
9399325,VILLA DE TAZACORTE,10140
9402079,UAL FORTITUDE,12638
9402067,GWEN,12692
9402043,BBC CAROLINA,12705
9402029,MAERSK BATUR,43273
9401984,LAKE PEARL,51687
9401946,SSI ERDOGAN BEY,50780
9401934,ST. ANDREW,50792
9401922,SOZON,50779
9401910,YANNIS,50779
9402483,DUBAI GLAMOUR,115600
9402495,DUBAI CHARM,115514
9402574,GASCHEM PACIFIC,18844
9402586,GASCHEM ADRIATIC,18895
9403310,PIS PARAGON,45920
9403281,BERGAMOT ACE,14996
9403229,ZIM LUANDA,50697
9403217,KARIYUSHI LEADER,17212
9403205,VIENNA,58736
9403176,CARMENCITA,58773
9403140,THOR CHAIYO,58731
9403126,GLOBE TRINCO,58750
9403114,IRIS EXPRESS,58785
9403102,NAVIOS VEGA,58792
9403073,LEON OETKER,58790
9403023,THOR CONFIDENCE,58781
9402926,MARAN POSEIDON,158267
9402809,CELSIUS RAVENNA,47366
9402794,UACC MIRDIF,47367
9402744,MV NEPTUNE LEADER,12853
9402718,AURIGA LEADER,18686
9402706,APOLLON LEADER,18758
9402598,GASCHEM ANTARCTIC,18955
9401829,OCEAN PEARL,51758
9401805,PANAMANA,54810
9401790,PELICANA,54810
9400394,SKARVEN,33624
9400289,NAVARINO,102302
9400174,CMA CGM FORT DESAIX,52788
9400112,PINOCCHIO,63355
9400100,MEHUIN,81002
9400095,DAL KALAHARI,81002
9399935,NAVE ORBIT,49999
9399911,PLOVER PACIFIC,50577
9399909,OMODOS,50521
9399791,WINDERMERE,35376
9399789,SONGA PUMA,34700
9399741,ROBIN 4,35358
9399739,ROBIN 2,35471
9399612,ETC NEFERTARI,49749
9399557,PANAMAX OSTRIA,76444
9399480,FRONT THOR,156719
9399478,VAIL SPIRIT,157048
9399363,HULDA MAERSK,37959
9399351,HENRY MAERSK,37933
9399349,HENRIETTE MAERSK,38001
9400382,SAKHARA LOTUS,32107
9400409,JBU OPAL,19864
9401788,SAGA ODYSSEY,46550
9400473,COMBI DOCK I,10480
9401685,OKEE ORTOLAN DELTA,23263
9401570,GASCHEM RHONE,7341
9401556,STAV VIKING,16628
9401544,STAVFJORD,16635
9401477,STAR DANAI,82574
9401362,GOLDEN ICE,75725
9401233,PALAWAN STAR,73796
9401142,MSC GAIA,162867
9401128,VERIGE,52725
9401116,MSC FRANCESCA,138377
9400954,CAPTAIN DIMITRIS S,32309
9400942,KAMENARI,32326
9400928,INOI,32301
9400916,BC CALLISTO,32280
9400904,BALD EAGLE,32292
9400887,PNOI,32282
9400875,GOLDEN BONNIE,32280
9400708,CHARLOTTE THERESA,11403
9400588,THOE,12500
9394947,SEAWAYS YELLOWSTONE,112990
9394894,MAERSK BRATAN,43114
9385037,DHT LOTUS,320142
9388417,ATLANTIC PIONEER,8732
9388780,WELLINGTON,108040
9388778,BLUE INTEGRITY,108926
9388766,AMPLEFORTH,108912
9388742,THUNDERBOLT,108817
9388716,GUARDIAN LEADER,21182
9388704,CHEM EAGLE,25421
9388534,ELBTRADER,11174
9388522,ELBFEEDER,11157
9388510,ELBCARRIER,11166
9388390,FUNCHALENSE 5,8729
9389966,ALEXIA,107574
9388388,LIBERTAS-H,8716
9388376,SEMERU,105777
9388364,MERBABU,105746
9388338,CONTSHIP RAY,13760
9388314,BOW LIND,46047
9388302,BOW ELM,46098
9388209,PS HOUSTON,50922
9388003,ENERGY PATRIOT,46606
